企業名,会計年度,四半期,y_hat_mraf,best_hyparam
アツギ,2018,Q1,5.345229781509745,[100 100]
アツギ,2018,Q2,-0.1804404369805072,[100 100]
アツギ,2018,Q3,8.377729781509744,[100 100]
アツギ,2018,Q4,-1.334870218490253,[100 100]
アツギ,2019,Q1,-49.656200000000005,[100 100]
アツギ,2019,Q2,-20.8311404369805,[100 100]
アツギ,2019,Q3,-27.4607,[100 100]
アツギ,2019,Q4,-104.654,[100 100]
アツギ,2020,Q1,-16.083399999999994,[100 100]
アツギ,2020,Q2,-102.51860000000002,[100 100]
アツギ,2020,Q3,-58.63179999999993,[100 100]
アツギ,2020,Q4,-33.852599999999974,[100 100]
アドウェイズ,2018,Q1,1.875169999999999,[2000 100]
アドウェイズ,2018,Q2,2.893625,[2000 100]
アドウェイズ,2018,Q3,6.623645000000044,[2000 100]
アドウェイズ,2018,Q4,5.562170000000053,[2000 100]
アドウェイズ,2019,Q1,6.047394999999999,[2000 100]
アドウェイズ,2019,Q2,2.731049999999992,[2000 100]
アドウェイズ,2019,Q3,1.084654999999995,[2000 100]
アドウェイズ,2019,Q4,1.1030349999999978,[2000 100]
アドウェイズ,2020,Q1,2.111700000000001,[2000 100]
アドウェイズ,2020,Q2,2.364575000000037,[2000 100]
アドウェイズ,2020,Q3,3.596135000000019,[2000 100]
アドウェイズ,2020,Q4,5.611195000000071,[2000 100]
アドソル日進,2018,Q1,15.415627826477902,[1000 10]
アドソル日進,2018,Q2,15.51203829249118,[1000 10]
アドソル日進,2018,Q3,19.713577019441704,[1000 10]
アドソル日進,2018,Q4,17.776366763864903,[1000 10]
アドソル日進,2019,Q1,18.70721335686754,[1000 10]
アドソル日進,2019,Q2,21.307040780103204,[1000 10]
アドソル日進,2019,Q3,20.876872725434943,[1000 10]
アドソル日進,2019,Q4,20.670569659955937,[1000 10]
アドソル日進,2020,Q1,21.658409523307363,[1000 10]
アドソル日進,2020,Q2,22.97757426511219,[1000 10]
アドソル日進,2020,Q3,22.025893754082173,[1000 10]
アドソル日進,2020,Q4,21.5018770122358,[1000 10]
アドバンテスト,2018,Q1,32.28923921694625,[100 100]
アドバンテスト,2018,Q2,52.25522615363947,[100 100]
アドバンテスト,2018,Q3,71.31257845618492,[100 100]
アドバンテスト,2018,Q4,75.9646299972974,[100 100]
アドバンテスト,2019,Q1,59.46777153030209,[100 100]
アドバンテスト,2019,Q2,68.65646307681972,[100 100]
アドバンテスト,2019,Q3,64.50340000000001,[100 100]
アドバンテスト,2019,Q4,56.156563076819765,[100 100]
アドバンテスト,2020,Q1,67.85960845348231,[100 100]
アドバンテスト,2020,Q2,67.56306307681972,[100 100]
アドバンテスト,2020,Q3,68.26079999999995,[100 100]
アドバンテスト,2020,Q4,71.16809999999995,[100 100]
アドヴァングループ,2018,Q1,14.998814907225816,[2000 100]
アドヴァングループ,2018,Q2,25.987934814451982,[2000 100]
アドヴァングループ,2018,Q3,22.46060745361307,[2000 100]
アドヴァングループ,2018,Q4,16.060182453612985,[2000 100]
アドヴァングループ,2019,Q1,26.102599907226097,[2000 100]
アドヴァングループ,2019,Q2,23.320062268065005,[2000 100]
アドヴァングループ,2019,Q3,27.77216208251698,[2000 100]
アドヴァングループ,2019,Q4,28.01199217529112,[2000 100]
アドヴァングループ,2020,Q1,27.67045444335615,[2000 100]
アドヴァングループ,2020,Q2,26.98842444335625,[2000 100]
アドヴァングループ,2020,Q3,21.94805208251701,[2000 100]
アドヴァングループ,2020,Q4,15.545752453612796,[2000 100]
アマダ,2018,Q1,20.159616717276226,[100 10]
アマダ,2018,Q2,19.44760510628004,[100 10]
アマダ,2018,Q3,21.671473373820973,[100 10]
アマダ,2018,Q4,25.30675835863809,[100 10]
アマダ,2019,Q1,18.495258358638097,[100 10]
アマダ,2019,Q2,26.79798668691049,[100 10]
アマダ,2019,Q3,16.420371671727622,[100 10]
アマダ,2019,Q4,25.49907167172761,[100 10]
アマダ,2020,Q1,7.925000000000002,[100 10]
アマダ,2020,Q2,15.740671671727624,[100 10]
アマダ,2020,Q3,12.065671671727625,[100 10]
アマダ,2020,Q4,17.704115015182868,[100 10]
アマノ,2018,Q1,20.874184999999724,[2000 10]
アマノ,2018,Q2,39.04492500000031,[2000 10]
アマノ,2018,Q3,31.581670000000244,[2000 10]
アマノ,2018,Q4,44.18133999999981,[2000 10]
アマノ,2019,Q1,16.844519999999527,[2000 10]
アマノ,2019,Q2,40.30417500000034,[2000 10]
アマノ,2019,Q3,24.27177499999952,[2000 10]
アマノ,2019,Q4,45.70878499999976,[2000 10]
アマノ,2020,Q1,23.839574999999705,[2000 10]
アマノ,2020,Q2,27.54513999999988,[2000 10]
アマノ,2020,Q3,16.648254999999754,[2000 10]
アマノ,2020,Q4,42.10667500000008,[2000 10]
アミューズ,2018,Q1,29.83030000000001,[100 10]
アミューズ,2018,Q2,27.21554174420304,[100 10]
アミューズ,2018,Q3,40.990870872101496,[100 10]
アミューズ,2018,Q4,47.97841261630453,[100 10]
アミューズ,2019,Q1,88.13909999999994,[100 10]
アミューズ,2019,Q2,56.36437087210152,[100 10]
アミューズ,2019,Q3,61.208200000000005,[100 10]
アミューズ,2019,Q4,47.83508348840604,[100 10]
アミューズ,2020,Q1,32.68557087210152,[100 10]
アミューズ,2020,Q2,56.80969999999999,[100 10]
アミューズ,2020,Q3,60.91619999999999,[100 10]
アミューズ,2020,Q4,22.99178348840608,[100 10]
アリアケジャパン,2018,Q1,63.3941149999994,[2000 10]
アリアケジャパン,2018,Q2,66.04004999999908,[2000 10]
アリアケジャパン,2018,Q3,64.59774999999952,[2000 10]
アリアケジャパン,2018,Q4,65.45575499999914,[2000 10]
アリアケジャパン,2019,Q1,153.3431200000013,[2000 10]
アリアケジャパン,2019,Q2,78.55895000000046,[2000 10]
アリアケジャパン,2019,Q3,73.91828,[2000 10]
アリアケジャパン,2019,Q4,81.4373200000002,[2000 10]
アリアケジャパン,2020,Q1,70.46771499999942,[2000 10]
アリアケジャパン,2020,Q2,63.930095000000286,[2000 10]
アリアケジャパン,2020,Q3,69.4323000000004,[2000 10]
アリアケジャパン,2020,Q4,66.5136149999996,[2000 10]
アルインコ,2018,Q1,24.677199999999992,[100 10]
アルインコ,2018,Q2,32.14379999999998,[100 10]
アルインコ,2018,Q3,33.144199999999984,[100 10]
アルインコ,2018,Q4,25.1241,[100 10]
アルインコ,2019,Q1,25.30679999999999,[100 10]
アルインコ,2019,Q2,30.457599999999985,[100 10]
アルインコ,2019,Q3,39.70490000000003,[100 10]
