企業名,会計年度,四半期,y_hat_umlp
アルフレッサ　ホールディングス,2019,Q4,41.807148
アルフレッサ　ホールディングス,2020,Q1,50.399624
アルフレッサ　ホールディングス,2020,Q2,50.551582
アルフレッサ　ホールディングス,2020,Q3,42.158882
アルフレッサ　ホールディングス,2020,Q4,49.311485
アルプスアルパイン,2018,Q1,9.54795
アルプスアルパイン,2018,Q2,49.254223
アルプスアルパイン,2018,Q3,116.59508
アルプスアルパイン,2018,Q4,22.728558
アルプスアルパイン,2019,Q1,9.226892
アルプスアルパイン,2019,Q2,29.455969
アルプスアルパイン,2019,Q3,13.779003
アルプスアルパイン,2019,Q4,8.441948
アルプスアルパイン,2020,Q1,4.759282
アルプスアルパイン,2020,Q2,1.233863
アルプスアルパイン,2020,Q3,10.809967
アルプスアルパイン,2020,Q4,20.923306
アルプス物流,2018,Q1,23.538809
アルプス物流,2018,Q2,23.039757
アルプス物流,2018,Q3,22.880886
アルプス物流,2018,Q4,23.861473
アルプス物流,2019,Q1,24.23681
アルプス物流,2019,Q2,24.266687
アルプス物流,2019,Q3,22.761877
アルプス物流,2019,Q4,22.244255
アルプス物流,2020,Q1,37.73528
アルプス物流,2020,Q2,37.052616
アルプス物流,2020,Q3,35.30548
アルプス物流,2020,Q4,35.29072
アンリツ,2018,Q1,2.2431538
アンリツ,2018,Q2,12.477938
アンリツ,2018,Q3,7.3084846
アンリツ,2018,Q4,20.9957
アンリツ,2019,Q1,22.82226
アンリツ,2019,Q2,21.621508
アンリツ,2019,Q3,13.740034
アンリツ,2019,Q4,19.925293
アンリツ,2020,Q1,4.7961445
アンリツ,2020,Q2,28.668972
アンリツ,2020,Q3,23.71106
アンリツ,2020,Q4,15.449614
アートネイチャー,2018,Q1,18.333342
アートネイチャー,2018,Q2,34.72744
アートネイチャー,2018,Q3,14.935239
アートネイチャー,2018,Q4,23.776
アートネイチャー,2019,Q1,26.463665
アートネイチャー,2019,Q2,26.743715
アートネイチャー,2019,Q3,9.833345
アートネイチャー,2019,Q4,22.88994
アートネイチャー,2020,Q1,22.490742
アートネイチャー,2020,Q2,17.457567
アートネイチャー,2020,Q3,-11.426944
アートネイチャー,2020,Q4,27.221718
アーレスティ,2018,Q1,27.075174
アーレスティ,2018,Q2,31.801252
アーレスティ,2018,Q3,24.844166
アーレスティ,2018,Q4,93.832146
アーレスティ,2019,Q1,75.9667
アーレスティ,2019,Q2,102.13932
アーレスティ,2019,Q3,52.239616
アーレスティ,2019,Q4,54.089855
アーレスティ,2020,Q1,104.484604
アーレスティ,2020,Q2,81.14211
アーレスティ,2020,Q3,-2.2561245
アーレスティ,2020,Q4,34.646214
イエローハット,2018,Q1,59.143944
イエローハット,2018,Q2,56.079655
イエローハット,2018,Q3,101.709946
イエローハット,2018,Q4,46.617413
イエローハット,2019,Q1,58.960995
イエローハット,2019,Q2,51.397114
イエローハット,2019,Q3,134.92757
イエローハット,2019,Q4,66.95122
イエローハット,2020,Q1,71.64131
イエローハット,2020,Q2,69.70449
イエローハット,2020,Q3,69.91392
イエローハット,2020,Q4,73.16208
イソライト工業,2018,Q1,18.186613
イソライト工業,2018,Q2,3.007678
イソライト工業,2018,Q3,21.801298
イソライト工業,2018,Q4,28.465782
イソライト工業,2019,Q1,-0.047079317
イソライト工業,2019,Q2,13.351357
イソライト工業,2019,Q3,12.471538
イソライト工業,2019,Q4,5.41506
イソライト工業,2020,Q1,13.270809
イソライト工業,2020,Q2,14.251125
イソライト工業,2020,Q3,18.294107
イソライト工業,2020,Q4,23.279694
イチカワ,2018,Q1,2.3472097
イチカワ,2018,Q2,4.635576
イチカワ,2018,Q3,-2.8126817
イチカワ,2018,Q4,12.175541
イチカワ,2019,Q1,0.6605675
イチカワ,2019,Q2,4.321419
イチカワ,2019,Q3,9.408215
イチカワ,2019,Q4,-5.9784613
イチカワ,2020,Q1,4.325132
イチカワ,2020,Q2,3.8537567
イチカワ,2020,Q3,12.245616
イチカワ,2020,Q4,0.5883958
イチケン,2018,Q1,-5.3307233
イチケン,2018,Q2,40.575645
イチケン,2018,Q3,34.027256
イチケン,2018,Q4,35.955685
イチケン,2019,Q1,30.311666
イチケン,2019,Q2,86.47751
イチケン,2019,Q3,103.71609
イチケン,2019,Q4,85.653824
イチケン,2020,Q1,49.464985
イチケン,2020,Q2,90.20343
イチケン,2020,Q3,29.395296
イチケン,2020,Q4,55.416275
イチネンホールディングス,2018,Q1,35.109818
イチネンホールディングス,2018,Q2,52.252975
イチネンホールディングス,2018,Q3,28.17391
イチネンホールディングス,2018,Q4,-3.4710433
イチネンホールディングス,2019,Q1,20.989132
イチネンホールディングス,2019,Q2,46.892574
イチネンホールディングス,2019,Q3,26.304752
イチネンホールディングス,2019,Q4,36.343517
