企業名,会計年度,四半期,y_hat_ibes_comb_all
三菱地所,2018,Q1,15.076058767205875
三菱地所,2018,Q2,16.56965019900144
三菱地所,2018,Q3,24.579524593703482
三菱地所,2018,Q4,18.578622301353505
三菱地所,2019,Q1,19.872601249577425
三菱地所,2019,Q2,24.76640586763487
三菱地所,2019,Q3,24.9650960870737
三菱地所,2019,Q4,22.743367164729623
三菱地所,2020,Q1,20.957114025010103
三菱地所,2020,Q2,21.859330193558755
三菱地所,2020,Q3,25.01199398296469
三菱地所,2020,Q4,34.536900073043974
三菱電機,2018,Q1,27.08619997788856
三菱電機,2018,Q2,24.582453890727127
三菱電機,2018,Q3,27.245037092716824
三菱電機,2018,Q4,29.140476619106426
三菱電機,2019,Q1,24.09271160561535
三菱電機,2019,Q2,23.596205196747775
三菱電機,2019,Q3,23.75051142849035
三菱電機,2019,Q4,28.906915226636492
三菱電機,2020,Q1,18.790298981943177
三菱電機,2020,Q2,17.407251498963614
三菱電機,2020,Q3,23.96110048504892
三菱電機,2020,Q4,30.19541003588516
丸井グループ,2018,Q1,27.579108933981455
丸井グループ,2018,Q2,29.48935034513784
丸井グループ,2018,Q3,19.703508271252584
丸井グループ,2018,Q4,23.46348482512931
丸井グループ,2019,Q1,22.109096790278663
丸井グループ,2019,Q2,32.51506100224317
丸井グループ,2019,Q3,33.82968187913899
丸井グループ,2019,Q4,20.34184356258719
丸井グループ,2020,Q1,24.558539735119272
丸井グループ,2020,Q2,30.485042080477278
丸井グループ,2020,Q3,28.622628742566775
丸井グループ,2020,Q4,27.321396624623077
九電工,2018,Q1,53.616443220429346
九電工,2018,Q2,95.02342042153415
九電工,2018,Q3,56.659491713865265
九電工,2018,Q4,161.79677310645528
九電工,2019,Q1,49.48552242145512
九電工,2019,Q2,90.91700615129821
九電工,2019,Q3,67.87527357024862
九電工,2019,Q4,179.3347268753295
九電工,2020,Q1,60.54375155490502
九電工,2020,Q2,88.66957124773029
九電工,2020,Q3,60.93699139725259
九電工,2020,Q4,158.08756399406005
京セラ,2018,Q1,22.303749894947547
京セラ,2018,Q2,78.64389661905719
京セラ,2018,Q3,75.93253655407666
京セラ,2018,Q4,63.282276925594395
京セラ,2019,Q1,83.96558029955398
京セラ,2019,Q2,82.17542210284067
京セラ,2019,Q3,93.24755624952326
京セラ,2019,Q4,63.50286266270309
京セラ,2020,Q1,63.9278270567759
京セラ,2020,Q2,62.455429192752035
京セラ,2020,Q3,73.09199851480393
京セラ,2020,Q4,78.57927001678132
任天堂,2018,Q1,110.57228016570481
任天堂,2018,Q2,323.9104431845455
任天堂,2018,Q3,617.6924647353942
任天堂,2018,Q4,149.70779018889888
任天堂,2019,Q1,85.49410652427149
任天堂,2019,Q2,246.83645104376842
任天堂,2019,Q3,812.7109729744043
任天堂,2019,Q4,444.9057320585693
任天堂,2020,Q1,346.12754035832376
任天堂,2020,Q2,807.3065276930117
任天堂,2020,Q3,1279.752079994774
任天堂,2020,Q4,831.154068699707
伊藤忠テクノソリューションズ,2018,Q1,18.97255832146765
伊藤忠テクノソリューションズ,2018,Q2,41.34631156392548
伊藤忠テクノソリューションズ,2018,Q3,30.18698149777608
伊藤忠テクノソリューションズ,2018,Q4,76.69175480266175
伊藤忠テクノソリューションズ,2019,Q1,14.703416117559383
伊藤忠テクノソリューションズ,2019,Q2,28.949045916026613
伊藤忠テクノソリューションズ,2019,Q3,25.55109321703728
伊藤忠テクノソリューションズ,2019,Q4,55.421562554813775
伊藤忠テクノソリューションズ,2020,Q1,17.781237262257775
伊藤忠テクノソリューションズ,2020,Q2,27.56369654017235
伊藤忠テクノソリューションズ,2020,Q3,26.53248986058472
伊藤忠テクノソリューションズ,2020,Q4,51.917465349637496
住友不動産,2018,Q1,80.53004571459772
住友不動産,2018,Q2,67.77591249721294
住友不動産,2018,Q3,69.47889261502267
住友不動産,2018,Q4,35.725784780323366
住友不動産,2019,Q1,80.09349552902434
住友不動産,2019,Q2,62.164195244586146
住友不動産,2019,Q3,50.278951648003584
住友不動産,2019,Q4,65.80537819504609
住友不動産,2020,Q1,106.60225542837908
住友不動産,2020,Q2,73.29506383295016
住友不動産,2020,Q3,54.40849336384613
住友不動産,2020,Q4,59.78817928311744
参天製薬,2018,Q1,13.517950482655618
参天製薬,2018,Q2,17.489766775832347
参天製薬,2018,Q3,15.910684955328206
参天製薬,2018,Q4,19.378810642387926
参天製薬,2019,Q1,19.625052124646
参天製薬,2019,Q2,18.678539952403195
参天製薬,2019,Q3,22.367021510434903
参天製薬,2019,Q4,16.024151236216465
参天製薬,2020,Q1,15.719282027182254
参天製薬,2020,Q2,17.460068064383158
参天製薬,2020,Q3,20.36423523075227
参天製薬,2020,Q4,15.564759063871355
大同特殊鋼,2018,Q1,518.6490320605063
大同特殊鋼,2018,Q2,316.124912865856
大同特殊鋼,2018,Q3,141.68906447418235
大同特殊鋼,2018,Q4,112.16602997854196
大同特殊鋼,2019,Q1,107.41341584133714
大同特殊鋼,2019,Q2,127.66657949287087
大同特殊鋼,2019,Q3,37.2435855612179
大同特殊鋼,2019,Q4,38.79126415492533
大同特殊鋼,2020,Q1,41.11557044279423
大同特殊鋼,2020,Q2,-80.29151920387088
大同特殊鋼,2020,Q3,-65.13900496314656
