企業名,会計年度,四半期,y_hat_comb_uts
アリアケジャパン,2018,Q2,63.130960587760526
アリアケジャパン,2018,Q3,74.96262345959045
アリアケジャパン,2018,Q4,48.24354352850231
アリアケジャパン,2019,Q1,-80.83075527749887
アリアケジャパン,2019,Q2,67.5526257887943
アリアケジャパン,2019,Q3,45.23654483651411
アリアケジャパン,2019,Q4,287.2004401339941
アリアケジャパン,2020,Q1,79.43280472616743
アリアケジャパン,2020,Q2,61.56094844022059
アリアケジャパン,2020,Q3,71.5802897080462
アリアケジャパン,2020,Q4,90.83886508654541
アルインコ,2018,Q1,15.011930795848244
アルインコ,2018,Q2,26.83845281166547
アルインコ,2018,Q3,31.14467627247972
アルインコ,2018,Q4,8.450210001334787
アルインコ,2019,Q1,21.549660185337945
