企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
ミズノ,大阪市中央区北浜４－１－２３,27128,大阪市住之江区南港北１－１２－３５,27125,1923/07/19,1923/07/19,日本スポーツ用品工業協会,スポーツ産業団体連合会,日本ゴルフ用品協会,大阪商工会議所
ミツウロコグループホールディン,東京都中央区京橋３－１－１,13102,東京都中央区京橋３－１－１,13102,1926/05/10,1926/05/10,全国ＬＰガス協会,日本煉炭工業会,東京都石油業協同組合,東京商工会議所
ミツバ,群馬県桐生市広沢町１－２６８１,10203,群馬県桐生市広沢町１－２６８１,10203,1946/03/08,1946/03/08,日本自動車部品工業会,-,-,桐生商工会議所
ミネベアミツミ,長野県北佐久郡御代田町大字御代田４１０６－７３,20323,東京都港区三田３－９－６,13103,1951/07/16,1951/07/16,日本ベアリング工業会,日本ねじ工業協会,日本計量機器工業連合会,東京商工会議所
ミマキエンジニアリング,長野県東御市滋野乙２１８２－３,20219,長野県東御市滋野乙２１８２－３,20219,1981/05/14,1981/05/14,-,-,-,-
ミロク情報サービス,東京都新宿区四谷４－２９－１　ＭＪＳビル,13104,東京都新宿区四谷４－２９－１　ＭＪＳビル,13104,1977/11/02,1977/11/02,テレコムサービス協会,-,-,東京商工会議所
メイコー,神奈川県綾瀬市大上５－１４－１５,14218,神奈川県綾瀬市大上５－１４－１５,14218,1975/11/25,1975/11/25,日本電子回路工業会,-,-,-
メイテック,名古屋市西区康生通２－２０－１　名古屋テクノセンター,23104,東京都台東区上野１－１－１０　オリックス上野１丁目ビル,13106,1974/07/17,1974/07/17,人材サービス産業協議会,-,-,東京商工会議所
メガチップス,大阪市淀川区宮原１－１－１,27123,大阪市淀川区宮原１－１－１　新大阪阪急ビル,27123,1990/04/04,1967/01/27,-,-,-,大阪商工会議所
メディパルホールディングス,東京都中央区八重洲２－７－１５,13102,東京都中央区八重洲２－７－１５,13102,1923/05/06,1923/05/06,日本医薬品卸売業連合会,東京医薬品卸業協会,-,-
メルコホールディングス,東京都千代田区丸の内１－１１－１　パシフィックセンチュリープレイス丸の内,13101,名古屋市中区大須３－３０－２０　赤門通ビル,23106,1999/10/23,1999/10/23,-,-,-,-
メンバーズ,東京都中央区晴海１－８－１０,13102,東京都中央区晴海１－８－１０　晴海アイランドトリトンスクエアオフィスタワーＸ,13102,1995/06/26,1995/06/26,東京ニュービジネス協議会,日本ニュービジネス協議会連合会,-,-
モスフードサービス,東京都品川区大崎２－１－１,13109,東京都品川区大崎２－１－１　ＴｈｉｎｋＰａｒｋ　Ｔｏｗｅｒ,13109,1972/07/21,1972/07/21,日本フードサービス協会,日本フランチャイズチェーン協会,日本ハンバーグハンバーガー協会,東京商工会議所
モリタホールディングス,大阪市中央区道修町３－６－１,27128,大阪市中央区道修町３－６－１　京阪神御堂筋ビル,27128,1932/07/23,1932/07/23,-,-,-,-
モリ工業,大阪府河内長野市楠町東１６１５,27216,大阪市中央区難波５－１－６０　なんばスカイオ,27128,1944/05/29,1944/05/29,溶接鋼管協会,ステンレス協会,-,大阪商工会議所
モーニングスター,東京都港区六本木１－６－１,13103,東京都港区六本木１－６－１　泉ガーデンタワー,13103,1998/03/27,1998/03/27,-,-,-,-
ヤオコー,埼玉県川越市新宿町１－１０－１,11201,埼玉県川越市新宿町１－１０－１,11201,1974/03/05,1974/03/05,日本チェーンストア協会,日本スーパーマーケット協会,ペガサスクラブ,川越商工会議所
ヤクルト本社,東京都港区海岸１－１０－３０,13103,東京都港区海岸１－１０－３０,13103,1955/04/09,1949/01/29,全国はっ酵乳・乳酸菌飲料協会,全国清涼飲料連合会,-,東京商工会議所
ヤマタネ,東京都江東区越中島１－１－１,13108,東京都江東区越中島１－２－２１,13108,1937/08/15,1937/08/15,日本倉庫協会,全国米穀販売事業協同組合,日本ロジスティクスシステム協会,東京商工会議所
ヤマダホールディングス,群馬県高崎市栄町１－１,10202,群馬県高崎市栄町１－１,10202,1983/09/01,1978/06/01,-,-,-,高崎商工会議所
ヤマト,群馬県前橋市古市町１１８,10201,群馬県前橋市古市町１１８,10201,1946/07/12,1946/07/12,日本空調衛生工事業協会,全国管工事業協同組合連合会,全国浄化槽団体連合会,前橋商工会議所
ヤマトホールディングス,東京都中央区銀座２－１６－１０,13102,東京都中央区銀座２－１６－１０,13102,1929/04/09,1929/02/21,全国物流ネットワーク協会,-,-,東京商工会議所
ヤマハ,浜松市中区中沢町１０－１,22131,浜松市中区中沢町１０－１,22131,1897/10/12,1897/10/12,全国楽器協会,電子情報技術産業協会,音楽電子事業協会,浜松商工会議所
ユアサ商事,東京都千代田区神田美土代町７,13101,東京都千代田区神田美土代町７　住友不動産神田ビル,13101,1919/06/25,1919/06/25,日本経済団体連合会,日本貿易会,日本工作機械販売協会,東京商工会議所
ユアテック,仙台市宮城野区榴岡４－１－１,04102,仙台市宮城野区榴岡４－１－１,04102,1944/10/10,1944/10/10,日本電設工業協会,送電線建設技術研究会,日本電気協会,仙台商工会議所
ユシロ化学工業,東京都大田区千鳥２－３４－１６,13111,東京都大田区千鳥２－３４－１６,13111,1944/07/24,1944/07/24,全国工作油剤工業組合,日本界面活性剤工業会,日本フロアーポリッシュ工業会,東京商工会議所
ユナイテッドアローズ,東京都渋谷区神宮前３－２８－１,13113,東京都港区赤坂８－１－１９　日本生命赤坂ビル,13103,1989/10/02,1975/06/04,日本ショッピングセンター協会,ＪＡＦＩＣ,東京ニット卸商業組合,東京商工会議所
ユニチカ,兵庫県尼崎市東本町１－５０,28202,大阪市中央区久太郎町４－１－３　大阪センタービル,27128,1889/06/19,1889/06/19,日本化学繊維協会,日本紡績協会,-,大阪商工会議所
ユニデンホールディングス,東京都中央区八丁堀２－１２－７,13102,東京都中央区八丁堀２－１２－７,13102,1966/02/07,1947/06/17,-,-,-,東京商工会議所
ユニプレス,横浜市港北区新横浜１－１９－２０,14109,横浜市港北区新横浜１－１９－２０　ＳＵＮ　ＨＡＭＡＤＡ　ＢＬＤＧ．,14109,1945/03/01,1945/03/01,自動車部品工業会,-,-,-
ユーシン精機,京都市南区久世殿城町５５５,26107,京都市南区久世殿城町５５５,26107,1973/10/22,1973/10/22,日本ロボット工業会,日本プラスチック機械工業会,日本合成樹脂技術協会,京都商工会議所
ユー・エス・エス,愛知県東海市新宝町５０７－２０,23222,愛知県東海市新宝町５０７－２０,23222,1980/10/29,1969/11/13,日本オートオークション協議会,-,-,東海商工会議所
ヨコオ,東京都北区滝野川７－５－１１,13117,東京都北区滝野川７－５－１１,13117,1951/06/14,1951/06/14,-,-,-,東京商工会議所
ヨロズ,横浜市港北区樽町３－７－６０,14109,横浜市港北区樽町３－７－６０,14109,1948/04/01,1948/04/01,日本自動車部品工業会,日翔会,湘和会,横浜商工会議所
ヨータイ,大阪府貝塚市二色中町８－１,27208,大阪府貝塚市二色中町８－１,27208,1936/08/01,1936/08/01,日本セラミックス協会,-,-,貝塚商工会議所
ライト工業,東京都千代田区九段北４－２－３５,13101,東京都千代田区九段北４－２－３５,13101,1948/09/28,1948/09/28,日本土木工業協会,全国特定法面保護協会,日本薬液注入協会,東京商工会議所
ラウンドワン,大阪市中央区難波５－１－６０,27128,大阪市中央区難波５－１－６０　なんばスカイオ,27128,1980/12/25,1980/12/25,日本ボウリング場協会,-,-,-
ラサ工業,東京都千代田区外神田１－１８－１３,13101,東京都千代田区外神田１－１８－１３,13101,1913/05/01,1918/06/26,日本化学工業協会,日本産業機械工業会,日本推進技術協会,-
リオン,東京都国分寺市東元町３－２０－４１,13214,東京都国分寺市東元町３－２０－４１,13214,1944/06/21,1944/06/21,電子情報技術産業協会,日本補聴器工業会,日本電気計測器工業会,東京商工会議所
リケン,東京都千代田区三番町８－１,13101,東京都千代田区三番町８－１　三番町東急ビル,13101,1949/12/01,1949/12/01,日本自動車部品工業会,陸用内燃機関協会,日本金属継手協会,-
リケンテクノス,東京都千代田区神田淡路町２－１０１,13101,東京都千代田区神田淡路町２－１０１　ワテラスタワー,13101,1951/03/30,1951/03/30,日本ビニル工業会,塩ビ食品衛生協議会,ポリオレフィン等衛生協議会,東京商工会議所
リコー,東京都大田区中馬込１－３－６,13111,東京都大田区中馬込１－３－６,13111,1936/02/06,1936/02/06,ＪＢＭＩＡ,電子情報技術産業協会,情報通信ネットワーク産業協会,東京商工会議所
リズム,さいたま市大宮区北袋町１－２９９－１２,11103,さいたま市大宮区北袋町１－２９９－１２,11103,1950/11/07,1950/11/07,日本時計協会,-,-,東京商工会議所
リソルホールディングス,東京都新宿区西新宿６－２４－１　西新宿三井ビルディング,13104,東京都新宿区西新宿６－２４－１　西新宿三井ビルディング,13104,1931/02/27,1931/02/27,日本監査役協会,東京都宅地建物取引業協会,日本旅行業協会,-
リゾートトラスト,名古屋市中区東桜２－１８－３１,23106,名古屋市中区東桜２－１８－３１,23106,1973/04/02,1973/04/02,日本リゾートクラブ協会,全日本不動産協会,日本旅行業協会,名古屋商工会議所
リックス,福岡市博多区山王１－１５－１５,40132,福岡市博多区山王１－１５－１５,40132,1964/05/01,1947/05/30,日本ウォータージェット学会,日本高圧力学会,日本産業洗浄協議会,福岡商工会議所
リョーサン,東京都千代田区東神田２－３－５,13101,東京都千代田区東神田２－３－５,13101,1957/03/27,1949/02/23,電子情報技術産業協会,東京都電機卸商業協同組合,全国電子部品流通連合会,東京商工会議所
リログループ,東京都新宿区新宿４－３－２３,13104,東京都新宿区新宿４－３－２３,13104,1967/03/15,1967/03/15,-,-,-,東京商工会議所
リンテック,東京都板橋区本町２３－２３,13119,東京都板橋区本町２３－２３,13119,1934/10/15,1934/10/15,全日本シール印刷協同組合連合会,日本製紙連合会,-,東京商工会議所
リンナイ,名古屋市中川区福住町２－２６,23110,名古屋市中川区福住町２－２６,23110,1950/09/02,1950/09/02,日本ガス石油機器工業会,日本電機工業会,リビングアメニティ協会,名古屋商工会議所
ルネサンス,東京都墨田区両国２－１０－１４,13107,東京都墨田区両国２－１０－１４,13107,1982/08/13,1982/08/13,日本フィットネス産業協会,スポーツ産業団体連合会,健康長寿産業連合会,東京商工会議所
レイズネクスト,横浜市中区桜木町１－１－８,14104,横浜市中区桜木町１－１－８　日石横浜ビル,14104,1938/07/20,1938/07/20,エンジニアリング協会,日本産業機械工業会,石油学会,横浜商工会議所
レオパレス２１,東京都中野区本町２－５４－１１,13114,東京都中野区本町２－５４－１１,13114,1973/08/17,1973/08/17,全国住宅産業協会,プレハブ建築協会,日本賃貸住宅管理協会,東京商工会議所
