企業名,日経業種コード,日経業種名（漢字）,日経業種名（英文）,日経業種大分類,日経業種中分類,日経業種小分類,東証業種コード,東証業種名（漢字）,東証業種名（英文）,日本標準産業分類（１）,日本標準産業分類（２）,日本標準産業分類（３）
日伝,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000000000,000000000
日工,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002621,000002592,000000000
日揮ホールディングス,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000841,000000000,000000000
日新,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004811,000004831,000004821
日新電機,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002914,000002929,000002912
日本カーバイド工業,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001629,000001635,000000000
日本ガイシ,115144,陶器,Pottery & Related Products,1,15,144,3400,ガラス・土石製品,Glass & Ceramics Products,000002144,000002149,000000000
日本ギア工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002531,000000000,000000000
日本ケミコン,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002859,000000000,000000000
日本ケミファ,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
日本コンクリート工業,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000002123,000000000,000000000
日本コークス工業,111102,石炭石油製品,Oil & Coal Products,1,11,102,3300,石油・石炭製品,Oil & Coal Products,000001731,000002652,000000000
日本システムウエア,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000005432
日本システム技術,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
日本ゼオン,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001636,000001635,000000000
日本テレビホールディングス,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003821,000004111,000000000
日本トムソン,121208,軸受,Bearings,1,21,208,3600,機械,Machinery,000002594,000002599,000000000
日本トランスシティ,263621,倉庫,Warehousing,2,63,621,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004711,000004811,000000000
日本トリム,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000002932,000000000,000000000
日本ハム,101007,ハム,Meat Products,1,01,007,3050,食料品,Foods,000000912,000000000,000000000
日本パーカライジング,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001629,000000000,000000000
日本ヒューム,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000002123,000000000,000000000
日本ピストンリング,121208,軸受,Bearings,1,21,208,3600,機械,Machinery,000002595,000003113,000000000
日本ピラー工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002499,000000000,000000000
日本プラスト,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
日本ユニシス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000007032,000005432,000007499
日本リーテック,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
日本信号,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000003015,000000000,000000000
日本光電,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002961,000002912,000000000
日本冶金工業,117166,ステンレス,Stainless Steel,1,17,166,3450,鉄鋼,Iron & Steel,000002339,000000000,000000000
日本化学工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001629,000000000,000000000
日本山村硝子,115141,ガラス,Glass,1,15,141,3400,ガラス・土石製品,Glass & Ceramics Products,000002114,000000000,000000000
日本新薬,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
日本曹達,107063,塩素・ソーダ,Alkali & Chlorine,1,07,063,3200,化学,Chemicals,000001692,000001621,000000000
日本板硝子,115141,ガラス,Glass,1,15,141,3400,ガラス・土石製品,Glass & Ceramics Products,000002111,000000000,000000000
日本水産,235341,水産,Fish & Marine Products,2,35,341,0050,水産・農林業,"Fishery, Agriculture & Forestry",000000312,000000925,000000926
日本特殊塗料,107069,塗料・インキ,Paint & Printing Inks,1,07,069,3200,化学,Chemicals,000001644,000000000,000000000
日本特殊陶業,115144,陶器,Pottery & Related Products,1,15,144,3400,ガラス・土石製品,Glass & Ceramics Products,000003113,000002149,000000000
日本瓦斯,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006051,000006812,000000000
日本甜菜製糖,101002,砂糖,Sugar Refining,1,01,002,3050,食料品,Foods,000000951,000000000,000000000
日本石油輸送,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004821,000000000,000000000
日本空港ビルデング,253521,賃貸,Real Estate - Rental,2,53,521,8050,不動産業,Real Estate,000006911,000006099,000000000
日本空調サービス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009299,000000000,000000000
日本管財,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009221,000000000,000000000
日本精化,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001696,000001639,000000000
日本精工,121208,軸受,Bearings,1,21,208,3600,機械,Machinery,000003113,000002594,000002599
日本精線,117165,鋳鍛鋼,Iron & Steel Foundries,1,17,165,3450,鉄鋼,Iron & Steel,000002238,000000000,000000000
日本紙パルプ商事,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005531,000000000,000000000
日本航空電子工業,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002899,000000000,000000000
日本製鉄,117161,銑鋼一貫,Iron & Steel (Major),1,17,161,3450,鉄鋼,Iron & Steel,000002211,000002212,000000000
日本製鋼所,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002251,000002255,000000000
日本触媒,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001634,000001632,000001635
日本調剤,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006033,000000000,000000000
日本車両製造,129281,車両,Railroad Equipment,1,29,281,3700,輸送用機器,Transport Equipment,000003121,000002621,000000000
日本通信,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003721,000003731,000000000
日本通運,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004611,000000000
日本道路,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000631,000000000,000000000
日本郵船,259581,大手海運,Shipping - Nucleus,2,59,581,5100,海運業,Marine Transportation,000004512,000000000,000000000
日本酸素ホールディングス,107066,酸素,Oxygen,1,07,066,3200,化学,Chemicals,000001623,000000000,000000000
日本金属,117166,ステンレス,Stainless Steel,1,17,166,3450,鉄鋼,Iron & Steel,000002339,000002255,000000000
日本金銭機械,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3600,機械,Machinery,000003032,000000000,000000000
日本鋳鉄管,117165,鋳鍛鋼,Iron & Steel Foundries,1,17,165,3450,鉄鋼,Iron & Steel,000002293,000000000,000000000
日本電子,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002969,000002971,000002741
日本電子材料,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002999,000002899,000000000
日本電産,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002911,000000000,000000000
日本電設工業,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000823,000000000
日本高周波鋼業,117163,特殊鋼,Special Steel,1,17,163,3450,鉄鋼,Iron & Steel,000002254,000002253,000000000
日本高純度化学,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001699,000000000,000000000
日本ＣＭＫ,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002841,000000000,000000000
日東富士製粉,101003,製粉,Grain Mill Products,1,01,003,3050,食料品,Foods,000000962,000000000,000000000
日東工器,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002664,000002523,000000000
日東工業,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002914,000000000,000000000
日東紡,115146,カーボン・その他,"Carbon, NEC",1,15,146,3400,ガラス・土石製品,Glass & Ceramics Products,000001114,000001115,000000000
日東電工,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000002815,000000000,000000000
日比谷総合設備,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000832,000000811,000000000
日水製薬,109083,大衆向医薬品,Proprietary Drugs,1,09,083,3250,医薬品,Pharmaceutical,000001652,000001653,000000000
日油,107067,油脂・洗剤,"Oils, Fats & Soap",1,07,067,3200,化学,Chemicals,000001641,000001644,000000000
日清オイリオグループ,101004,食油,Vegetable Oils,1,01,004,3050,食料品,Foods,000000981,000000000,000000000
日清製粉グループ本社,101003,製粉,Grain Mill Products,1,01,003,3050,食料品,Foods,000000962,000001061,000000000
日清食品ホールディングス,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000992,000000000,000000000
日特建設,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000621,000000611,000000000
日産化学,107061,大手化学,Chemicals (Major),1,07,061,3200,化学,Chemicals,000001632,000001692,000000000
日産東京販売ホールディングス,243422,自動車販売,Auto Wholesales & Dealers,2,43,422,6100,小売業,Retail Trade,000005911,000008911,000000000
日産自動車,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
日産車体,127263,車体・その他,"Auto Body, NEC",1,27,263,3700,輸送用機器,Transport Equipment,000003112,000000000,000000000
日神グループホールディングス,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006821,000000000
日立建機,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002621,000009012,000000000
日立物流,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004841,000000000
日立製作所,123221,総合電機,General Electric,1,23,221,3650,電気機器,Electric Appliances,000002911,000003011,000000000
日立造船,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000003131,000000611,000000000
日立金属,117163,特殊鋼,Special Steel,1,17,163,3450,鉄鋼,Iron & Steel,000002255,000002254,000002234
日進工具,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002664,000000000,000000000
日野自動車,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
日鉄ソリューションズ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003921,000000000
日鉄物産,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005341,000000000,000000000
日鉄鉱業,237362,その他鉱業,Mining Except Coal Mining,2,37,362,1050,鉱業,Mining,000000557,000000000,000000000
日阪製作所,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002652,000002633,000002592
早稲田アカデミー,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008231,000000000,000000000
旭ダイヤモンド工業,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002661,000002664,000000000
旭化成,107061,大手化学,Chemicals (Major),1,07,061,3200,化学,Chemicals,000001115,000001635,000000000
旭有機材,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001851,000001635,000000000
明和地所,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006821,000000000
明和産業,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005329,000005331,000005311
明星工業,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000892,000000000,000000000
明治海運,259583,外航・その他,"Shipping - Foreign, NEC",2,59,583,5100,海運業,Marine Transportation,000004541,000004512,000000000
明治電機工業,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005431,000005432,000000000
明豊ファシリティワークス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007421,000000000,000000000
明電舎,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002914,000002911,000002912
昭和産業,101003,製粉,Grain Mill Products,1,01,003,3050,食料品,Foods,000000962,000001061,000000982
昭和電線ホールディングス,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000000000,000000000
昭文社ホールディングス,133325,その他製造業,"Manufacturing, NEC",1,33,325,5250,情報・通信業,Information & Communication,000003299,000000000,000000000
曙ブレーキ工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
月島機械,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002652,000002599,000000000
有機合成薬品工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000000942,000001634,000001651
有沢製作所,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001833,000002117,000000000
朝日工業社,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000832,000000000,000000000
朝日放送グループホールディング,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003821,000003822,000000000
木曽路,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007611,000007629,000007621
木村化工機,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002652,000002533,000000000
未来工業,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3200,化学,Chemicals,000002915,000002914,000000000
本多通信工業,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002915,000002899,000002823
本田技研工業,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000000000,000000000
杉本商事,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005492,000005419,000000000
村田製作所,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000002814,000000000
東ソー,107063,塩素・ソーダ,Alkali & Chlorine,1,07,063,3200,化学,Chemicals,000001621,000001635,000000000
東テク,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000000000,000000000
東プレ,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002452,000002535,000000000
東リ,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001193,000001823,000000000
東レ,103021,化合繊,Chemistry & Synthetic Fibers,1,03,021,3100,繊維製品,Textile & Apparels,000001115,000000000,000000000
東亜ディーケーケー,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002735,000002971,000000000
東亜建設工業,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000623,000000621,000000000
東亜道路工業,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000631,000000000,000000000
東京エネシス,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
東京エレクトロン,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000005432,000000000,000000000
東京エレクトロン　デバイス,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
東京ガス,269681,ガス,Utilities - Gas,2,69,681,4050,電気・ガス業,Electric Power & Gas,000003400,000000000,000000000
東京テアトル,271702,娯楽施設,Amusement Services,2,71,702,9050,サービス業,Services,000006912,000008011,000007511
東京機械製作所,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002644,000000000,000000000
東京特殊電線,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000002899,000000000
東京精密,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002599,000002734,000000000
東京製鉄,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002211,000000000,000000000
東京計器,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002523,000002733,000002739
東京鉄鋼,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002211,000000000,000000000
東北電力,267661,電力,Utilities - Electric,2,67,661,4050,電気・ガス業,Electric Power & Gas,000003300,000000000,000000000
東和薬品,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
東急,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000006812,000004311
東急建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000611,000000000
東日本旅客鉄道,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000000000,000000000
東映,271701,映画,Motion Picture Production,2,71,701,5250,情報・通信業,Information & Communication,000004114,000008011,000004111
東武鉄道,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000004311,000000000
東洋エンジニアリング,121206,化工機械,Special Industrial Machcnes,1,21,206,2050,建設業,Construction,000002652,000000000,000000000
東洋埠頭,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004711,000004855,000000000
東洋建設,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000621,000000623,000000000
東洋機械金属,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002651,000002653,000000000
東洋水産,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000992,000000926,000000000
東洋精糖,101002,砂糖,Sugar Refining,1,01,002,3050,食料品,Foods,000000952,000000000,000000000
東洋紡,103022,綿紡績,Cotton Spinning & Weaving,1,03,022,3100,繊維製品,Textile & Apparels,000001114,000000000,000000000
東洋製缶グループホールディング,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002411,000001892,000000000
東海旅客鉄道,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000000000,000000000
東海染工,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001141,000000000,000000000
東海理化電機製作所,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
東海運,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004522,000004811,000004411
東祥,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008048,000006921,000007511
東芝,123221,総合電機,General Electric,1,23,221,3650,電気機器,Electric Appliances,000002939,000002911,000003031
東芝テック,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003031,000002939,000002942
東邦アセチレン,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001623,000000000,000000000
東邦システムサイエンス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000000000,000000000
東邦チタニウム,119182,その他精錬,Other Non-Ferrous Metal Refining,1,19,182,3500,非鉄金属,Nonferrous Metals,000002319,000000000,000000000
東邦ホールディングス,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005521,000000000,000000000
東邦亜鉛,119181,大手精錬,Non-Ferrous Refining (Major),1,19,181,3500,非鉄金属,Nonferrous Metals,000002312,000002319,000000000
東邦瓦斯,269681,ガス,Utilities - Gas,2,69,681,4050,電気・ガス業,Electric Power & Gas,000003400,000000000,000000000
東都水産,243423,食品商社,Wholesale - Foods,2,43,423,6050,卸売業,Wholesale Trade,000005216,000005219,000000000
東鉄工業,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000621,000000611,000000893
東陽倉庫,263621,倉庫,Warehousing,2,63,621,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004711,000004512,000000000
松井建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000000,000000000
松屋フーズホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007611,000000000,000000000
松田産業,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005596,000005229,000008822
松風,133325,その他製造業,"Manufacturing, NEC",1,33,325,3750,精密機器,Precision Instruments,000002744,000000000,000000000
林兼産業,101007,ハム,Meat Products,1,01,007,3050,食料品,Foods,000000912,000001061,000000000
栄研化学,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
栗本鉄工所,117165,鋳鍛鋼,Iron & Steel Foundries,1,17,165,3450,鉄鋼,Iron & Steel,000002234,000002293,000002251
栗田工業,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002652,000001699,000000000
森永乳業,101009,乳製品,Dairy Products,1,01,009,3050,食料品,Foods,000000913,000000000,000000000
森永製菓,101006,製菓・パン,Bakery Products,1,01,006,3050,食料品,Foods,000000979,000000000,000000000
植木組,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000621,000000611,000000631
椿本チエイン,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002531,000002533,000000000
椿本興業,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000005491,000000000
極東貿易,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000005432,000000000
極東開発工業,129283,その他輸送用機器,"Transportation Equipment, NEC",1,29,283,3700,輸送用機器,Transport Equipment,000003159,000000000,000000000
極洋,235341,水産,Fish & Marine Products,2,35,341,0050,水産・農林業,"Fishery, Agriculture & Forestry",000000318,000000312,000000925
横河ブリッジホールディングス,119185,鉄骨・鉄塔・橋梁,Fabricated Metal Products,1,19,185,3550,金属製品,Metal Products,000002442,000000000,000000000
横河電機,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002972,000002971,000000000
橋本総業ホールディングス,243427,建材商社,Wholesale - Lumber & Building  Materials,2,43,427,6050,卸売業,Wholesale Trade,000005319,000000000,000000000
武田薬品工業,109081,大手医薬品,Drugs (Major),1,09,081,3250,医薬品,Pharmaceutical,000001651,000000949,000000000
武蔵精密工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
永大産業,133323,建材,Lumber & Wood Products,1,33,323,3800,その他製品,Other Products,000001228,000001221,000001222
永谷園ホールディングス,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000996,000000941,000000000
池上通信機,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002752,000002969,000003014
沢藤電機,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000003113,000002939,000000000
河合楽器製作所,133322,楽器,Musical Instrument,1,33,322,3800,その他製品,Other Products,000003241,000008241,000003249
河西工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000001832,000000000
油研工業,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002523,000000000,000000000
浅沼組,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000611,000000000
淀川製鋼所,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002211,000000000,000000000
清水建設,241401,大手建設,General Construction (Major),2,41,401,2050,建設業,Construction,000000611,000000000,000000000
滝沢鉄工所,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002661,000000000,000000000
焼津水産化学工業,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000949,000000929,000000000
熊谷組,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000621,000000611,000000000
燦ホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007961,000000000,000000000
片倉コープアグリ,107062,肥料,Chemical Fertilizers,1,07,062,3200,化学,Chemicals,000001612,000000000,000000000
牧野フライス製作所,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002661,000002662,000000000
特種東海製紙,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001421,000001422,000001411
王子ホールディングス,105041,大手製紙,Pulp and Paper (Major),1,05,041,3150,パルプ・紙,Pulp & Paper,000001421,000000000,000000000
王将フードサービス,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007623,000000000,000000000
理想科学工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002644,000000000,000000000
理研ビタミン,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000922,000000949,000000981
理研計器,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000003019,000000000,000000000
生化学工業,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
田中商事,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000002942,000002999,000002914
田谷,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007831,000000000,000000000
白銅,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005352,000000000,000000000
相鉄ホールディングス,255542,中小私鉄,Railroad (Minor),2,55,542,5050,陸運業,Land Transportation,000006812,000004211,000004311
矢作建設工業,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000621,000000611,000000000
石井鉄工所,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002446,000002442,000000000
石原ケミカル,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001639,000001643,000001646
石原産業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001622,000001634,000000000
石川製作所,121203,繊維機械,Textile Machines,1,21,203,3600,機械,Machinery,000002631,000002662,000002761
石油資源開発,237362,その他鉱業,Mining Except Coal Mining,2,37,362,1050,鉱業,Mining,000000531,000000532,000000000
神奈川中央交通,255543,バス・その他,Bus Transits,2,55,543,5050,陸運業,Land Transportation,000004311,000004331,000000000
神戸製鋼所,117161,銑鋼一貫,Iron & Steel (Major),1,17,161,3450,鉄鋼,Iron & Steel,000002221,000002332,000000000
神東塗料,107069,塗料・インキ,Paint & Printing Inks,1,07,069,3200,化学,Chemicals,000001644,000000000,000000000
神栄,103023,絹紡績,Silk Reeling,1,03,023,6050,卸売業,Wholesale Trade,000005011,000001111,000000000
神鋼商事,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005341,000005332,000005352
